traditional,simplified,pinyin_numbered,cvdict_meaning,hanzii_pinyin,hanzii_meaning,hanzii_part_of_speech,hanzii_collocations_json,hanzii_examples_json,hanzii_status
%,%,pa1,phần trăm (Đài Loan),,,,[],[],no_result
2019冠狀病毒病,2019冠状病毒病,er4 ling2 yi1 jiu3 guan1 zhuang4 bing4 du2 bing4,"COVID-19, bệnh coronavirus được xác định năm 2019",,,,[],[],no_result
21三體綜合症,21三体综合症,er4 shi2 yi1 san1 ti3 zong1 he2 zheng4,bệnh tam nhiễm sắc thể; hội chứng Down,,,,[],[],no_result
3C,3C,san1 C,"máy tính, truyền thông và điện tử tiêu dùng; Chứng nhận Bắt buộc của Trung Quốc (CCC)",,,,[],[],no_result
3P,3P,san1 P,(tiếng lóng) quan hệ tình dục ba người,,,,[],[],no_result
3Q,3Q,san1 Q,(tiếng lóng Internet) cảm ơn (từ vay mượn),,,,[],[],no_result
421,421,si4 er4 yi1,"bốn ông bà, hai cha mẹ và một con một",,,,[],[],no_result
502膠,502胶,wu3 ling2 er4 jiao1,keo cyanoacrylate,,,,[],[],no_result
88,88,ba1 ba1,(tiếng lóng Internet) tạm biệt (cách viết thay thế cho 拜拜[bai2 bai2]),,,,[],[],no_result
996,996,jiu3 jiu3 liu4,"9 giờ sáng - 9 giờ tối, sáu ngày một tuần (lịch làm việc)",,,,[],[],no_result
A,A,A,(tiếng lóng) (Đài Loan) ăn cắp,,,,[],[],no_result
AA制,AA制,AA - zhi4,chia đều hóa đơn; trả tiền riêng,,,,[],[],no_result
AB制,AB制,A B zhi4,"chia hóa đơn (trong đó nam trả phần lớn hơn); (sân khấu) hệ thống hai diễn viên luân phiên đóng vai chính, một người thay thế nếu người kia không thể diễn",,,,[],[],no_result
ACG,ACG,A C G,"viết tắt của ""anime, comics and games"" (hoạt hình, truyện tranh và trò chơi)",,,,[],[],no_result
A咖,A咖,A ka1,"hạng ""A""; hạng top",,,,[],[],no_result
A圈兒,A圈儿,A quan1 r5,ký hiệu @,,,,[],[],no_result
A片,A片,A pian4,phim người lớn; phim khiêu dâm,,,,[],[],no_result
A菜,A菜,A cai4,"(Đài Loan) rau A, hay xà lách Đài Loan (Lactuca sativa var. sativa) (từ tiếng Đài Loan 萵仔菜, phát âm Tai-lo [ue-á-tshài] hoặc [e-á-tshài])",,,,[],[],no_result
A貨,A货,A huo4,hàng giả chất lượng tốt,,,,[],[],no_result
B,B,bi1,cách nói tránh của 屄[bi1],,,,[],[],no_result
BM,BM,B M,"Brandy Melville, thương hiệu thời trang nổi tiếng với quần áo nhắm tới phụ nữ trẻ rất gầy; (sử dụng chung) thời trang cho phụ nữ trẻ nhỏ nhắn",,,,[],[],not_crawled
BP機,BP机,B P ji1,(từ vay mượn) máy nhắn tin,,,,[],[],not_crawled
B型超聲,B型超声,B xing2 chao1 sheng1,siêu âm kiểu B,,,,[],[],not_crawled
B格,B格,bi1 ge2,biến thể của 逼格[bi1 ge2],,,,[],[],not_crawled
B站,B站,B zhan4,"(thông tục) Bilibili, trang web chia sẻ video của Trung Quốc nổi bật với bình luận người dùng cuộn trên màn hình 彈幕|弹幕[dan4 mu4] phủ lên video",,,,[],[],not_crawled
B超,B超,B chao1,siêu âm chế độ B; siêu âm thai nhi; viết tắt của B型超聲|B型超声[B xing2 chao1 sheng1],,,,[],[],not_crawled
CJB,CJB,C J B,(tiếng lóng Internet) không đáng với kỳ vọng,,,,[],[],not_crawled
CP,CP,C P,"mối quan hệ lãng mạn tưởng tượng giữa hai nhân vật trong tiểu thuyết (hoặc ngoài đời thực) mà người ta mong muốn hoặc tưởng tượng (viết tắt của ""coupling"")",,,,[],[],not_crawled
CP值,CP值,C P zhi2,(Đài Loan) giá trị so với số tiền bỏ ra; đáng đồng tiền bát gạo,,,,[],[],not_crawled
C位,C位,C wei4,"(từ mới, khoảng năm 2015) (thông tục) vị trí nổi bật nhất (ví dụ: trong ảnh nhóm của nghệ sĩ) (từ vay mượn từ ""carry"" hoặc ""center"" hoặc ""core"")",,,,[],[],not_crawled
C盤,C盘,C pan2,ổ đĩa C hoặc ổ khởi động mặc định (máy tính),,,,[],[],not_crawled
C羅,C罗,C Luo2,biệt danh của cầu thủ bóng đá Bồ Đào Nha Cristiano Ronaldo,,,,[],[],not_crawled
DNA鑒定,DNA鉴定,D N A jian4 ding4,xét nghiệm DNA; kiểm tra DNA,,,,[],[],not_crawled
