word,hanzii_pinyin,hanzii_meaning,hanzii_part_of_speech,hanzii_collocations_json,hanzii_examples_json,raw_text,status
%,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
2019冠状病毒病,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Hình ảnh
Góp ý
2019冠状病毒病【冠狀病毒病】
[ 2019 Guānzhuàng bìngdú bìng ][ __ __ __ __ QUAN TRẠNG BỆNH ĐỘC BỆNH ]
Phát âm
Kết hợp từ
Video
Tin tức
COVID-19
Đóng góp bản dịch
Thử Flash / AI
Lite
Hình ảnh:
Nguồn: Bing.com
Góp ý
Chưa có bình luận
Thêm ghi chú, bình luận cho từ và chia sẻ với mọi người
冠
状
病
毒
狀
Bính âm:
guān, guàn
Hình thái: ⿱,冖,⿺,元,寸
Lục thư: hội ý
Bộ: MỊCH 冖
Số nét: 9
Nét bút: 丶フ一一ノフ一丨丶
Tập viết
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
21三体综合症,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Góp ý
21三体综合症【三體綜閤癥】
[ 21 Sān tǐ zònghé zhèng ][ __ __ TAM THỂ TỐNG HỢP CHỨNG ]
Phát âm
Kết hợp từ
Video
Tin tức
Hội chứng Down
Đóng góp bản dịch
Thử Flash / AI
Lite
Góp ý
Chưa có bình luận
Thêm ghi chú, bình luận cho từ và chia sẻ với mọi người
三
体
综
合
症
體
綜
閤
癥
Bính âm:
sān
Hình thái: ⿱,一,二
Lục thư: chỉ sự
Bộ: NHẤT 一
Số nét: 3
Nét bút: 一一一
Tập viết
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
3C,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Danh từ
Độ phổ biến
Góp ý
Báo lỗi
3C
[ 3c ]
AI
0
Danh từ
Đầy đủ
1. Chứng nhận bắt buộc của Trung Quốc (CCC)
China Compulsory Certificate (CCC)
Mở khóa
2. Viết tắt của cụm 'máy tính, truyền thông và thiết bị điện tử tiêu dùng'.
abbr. for computers, communications, and consumer electronics
Mở khóa
Góp ý (1)
我买了新3C (Wǒ mǎi le xīn 3C) Mình mới mua đồ 3C đấy
LinhNT
0
0
Xem thêm
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
3P,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Danh từ
Độ phổ biến
Góp ý
Báo lỗi
3P
[ 3p ]
AI
0
Danh từ
Đầy đủ
Ba người (3P)
在某些情境中指三个人之间的性行为，是不恰当、不道德的表述。【在某些情境中指三個人之間的性行為，是不恰當、不道德的錶述。】
3P就3P
3P jìu 3P
Hãy chơi ba người.
Mở khóa
Góp ý (1)
Intelligent 3p controller-design of algorithm and control rules 算法及控制规则设计
LinhNT
0
0
Xem thêm
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
3Q,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Danh từ
Độ phổ biến
Góp ý
Báo lỗi
3Q
[ 3q ]
AI
0
Danh từ
Đầy đủ
Cảm ơn (cách viết của ""Thank you"")
网络用语，表示“谢谢”（Thank You）的谐音。【網絡用語，錶示謝謝的諧音。】
Mở khóa
Góp ý (1)
3q : what's the difference between a monkey and a flea 问：猴子和跳蚤有什么不同？
LinhNT
0
0
Xem thêm
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
421,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Hình ảnh
Góp ý
421
[ 421 ]
421
Đóng góp bản dịch
Thử Flash / AI
Lite
Hình ảnh:
Nguồn: Bing.com
Góp ý
Chưa có bình luận
Thêm ghi chú, bình luận cho từ và chia sẻ với mọi người
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
502胶,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Danh từ
Lượng từ
Hình ảnh
Độ phổ biến
Góp ý
Báo lỗi
502胶【膠】
[ 502 jiāo ][ ㄐㄧㄠ ][ GIAO ]
AI
0
Phát âm
Kết hợp từ
Video
Tin tức
Danh từ
Đầy đủ
keo 502
一种快速粘合的强力胶水，常用于家庭修理。【一種快速粘閤的強力膠水，常用於傢庭脩理。】
我用502胶修好了鞋子。【我用膠脩好了鞋子。】
Wǒ yòng 502 jiāo xiū hǎo le xiézi.
Tôi dùng keo 502 sửa xong đôi giày.
Mở khóa
Lượng từ
些, 瓶 [xiē, píng]
胶
膠
Bính âm:
jiāo
Hình thái: ⿰,月,交
Lục thư: hình thanh & hội ý
Bộ: NHỤC 肉
Số nét: 10
Nét bút: ノフ一一丶一ノ丶ノ丶
Tập viết
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
88,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Hình ảnh
Góp ý
88
[ 88 ]
88
Đóng góp bản dịch
Thử Flash / AI
Lite
Hình ảnh:
Nguồn: Bing.com
Góp ý
Chưa có bình luận
Thêm ghi chú, bình luận cho từ và chia sẻ với mọi người
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
996,,,,[],[],"Hanzii
Trang chủ
Dịch
Thi thử
Học tập
Cộng đồng
Nâng cấp
Đăng nhập
Đăng ký
Từ vựng
Hán tự
Ví dụ
Ngữ pháp
Kết hợp từ
Trung Trung
Trung Anh
Từ vựng
Hình ảnh
Góp ý
996
[ 996 ]
996
Đóng góp bản dịch
Thử Flash / AI
Lite
Hình ảnh:
Nguồn: Bing.com
Góp ý (1)
Or in hong kong in 1 996, or he's stiii aiive 或者于1996年在香港逝世，或者还活着
LinhNT
0
0
Xem thêm
Hanzii
Từ điển Trung Việt
Thông tin
Giới thiệu
Chính sách
Điều khoản
Trợ giúp
Chính sách giao dịch
Hướng dẫn mua hàng trực tuyến
Chính sách thanh toán
Chính sách kiểm hàng
Chính sách bảo mật thông tin cá nhân
Chính sách vận chuyển, giao nhận
Quy trình tiếp nhận và khiếu nại
Chính sách đổi trả, hoàn tiền
Liên hệ
(+84) 976 696 764
support@hanzii.net
Ứng dụng khác
Tải ngay
© 2026 Hanzii Dictionary - All Rights Reserved",no_result
